source_monomer_name,standardized_name,base_monomer_name,monomer_smiles,molwt,count,source_count,canonical_anchor,pseudo_anchor,anchor_rule,stereochemistry_default,is_n_methyl,edit_scope_default,operation_default,attachment_default,chemical_payload_type_default,chemical_payload_template,manual_curation_priority,manual_check,quality_flag,notes,anchor_for_alignment,edit_event_class_default,edit_event_subclass_default,final_edit_scope,final_chemical_payload_type,final_chemical_payload,use_for_local_edit_model,use_for_atom_edit_model,local_model_eligibility,atom_model_eligibility,model_use_tier_default,requires_manual_curation_final,final_curation_reason,quality_flag_final
bHph,bHph,bHph,CN[C@H](CC=O)Cc1ccccc1,177.247,996,1,F,beta/extended-backbone,rule_beta_homophenylalanine_v5,L,False,backbone_and_R_group_edit,beta_homo_amino_acid+Phe_sidechain_extension,backbone;sidechain_Cbeta,combined_delta,Phe_to_beta_homophenylalanine,high,True,auto_v5_anchor_optimized,v5: rule-refined anchor/scope/payload,F,residue_graph_replacement,backbone_length_or_topology_replacement,backbone_mimetic_edit,backbone_replacement_graph,Phe_to_beta_homophenylalanine,False,True,not_core_local_edit,eligible_auxiliary_full_atom,atom_replacement_auxiliary,True,"Has a natural anchor for alignment, but the edit changes residue/backbone graph enough to treat as atom-level replacement.",residue_graph_replacement
Mono7,Mono7,Mono7,CN[C@@H](C)CC=O,101.149,93,1,A,beta/extended-backbone,rule_smiles_beta_homoalanine_to_ala_v6,L,False,backbone_edit,beta_amino_acid_backbone_extension,backbone,delta_graph,Ala_to_beta-homoAla,high,True,auto_v6_anchor_optimized,v6: SMILES matches beta-homoalanine-like alpha/beta backbone extension; Ala anchor retained with manual review,A,residue_graph_replacement,backbone_length_or_topology_replacement,backbone_mimetic_edit,backbone_replacement_graph,Ala_to_beta-homoAla,False,True,not_core_local_edit,eligible_auxiliary_full_atom,atom_replacement_auxiliary,True,"Has a natural anchor for alignment, but the edit changes residue/backbone graph enough to treat as atom-level replacement.",residue_graph_replacement
Mono6,Mono6,Mono6,CN(C)CCCC=O,115.176,89,3,A,gamma/extended-backbone,rule_smiles_nme_gaba_to_ala_v6,L,False,backbone_edit,N_methylation+gamma_amino_acid_backbone_extension,backbone_N;backbone,combined_delta,N-H_to_N-CH3;Ala_to_NMe-GABA,high,True,auto_v6_anchor_optimized,"v6: SMILES matches N-methyl GABA-like spacer; Ala anchor with backbone extension, manual review retained",A,residue_graph_replacement,backbone_length_or_topology_replacement,backbone_mimetic_edit,backbone_replacement_graph,N-H_to_N-CH3;Ala_to_NMe-GABA,False,True,not_core_local_edit,eligible_auxiliary_full_atom,atom_replacement_auxiliary,True,"Has a natural anchor for alignment, but the edit changes residue/backbone graph enough to treat as atom-level replacement.",residue_graph_replacement
Mono12,Mono12,Mono12,,,26,1,,Mono12,rule_mono_fallback,L,False,full_residue_fallback,full_residue_replacement,unknown,full_residue_graph,Mono12,high,True,auto_v6_retained_fallback_needs_review,v5: retained fallback; no reliable canonical anchor inferred,Mono12,unknown_replacement,unknown_replacement_without_monomer_structure,unknown_replacement,unknown_or_missing_structure,Mono12,False,False,not_eligible,not_eligible_until_structure_or_manual_curation,exclude_until_curated,True,No reliable automatic natural anchor/local edit decomposition; keep as unknown replacement.,unknown_replacement
Mono100,Mono100,Mono100,CNC(=O)[C@H](CSCC=O)NC,190.268,24,1,,Mono100,rule_mono_fallback,L,False,full_residue_fallback,full_residue_replacement,unknown,full_residue_graph,Mono100,high,True,auto_v6_retained_fallback_needs_review,v5: retained fallback; no reliable canonical anchor inferred,Mono100,unknown_replacement,unknown_replacement_with_monomer_structure,unknown_replacement,full_residue_graph,Mono100,False,True,not_eligible,eligible_as_low_confidence_full_residue_graph,atom_unknown_auxiliary,True,No reliable automatic natural anchor/local edit decomposition; keep as unknown replacement.,unknown_replacement
Mono11,Mono11,Mono11,,,24,1,,Mono11,rule_mono_fallback,L,False,full_residue_fallback,full_residue_replacement,unknown,full_residue_graph,Mono11,high,True,auto_v6_retained_fallback_needs_review,v5: retained fallback; no reliable canonical anchor inferred,Mono11,unknown_replacement,unknown_replacement_without_monomer_structure,unknown_replacement,unknown_or_missing_structure,Mono11,False,False,not_eligible,not_eligible_until_structure_or_manual_curation,exclude_until_curated,True,No reliable automatic natural anchor/local edit decomposition; keep as unknown replacement.,unknown_replacement
dPye,dPye,Pye,CN[C@@H](C=O)CCC(=O)N1CCCC1,198.266,24,1,E,,rule_pye_as_pyroglutamate_v5,D,False,stereochemistry_and_residue_replacement,pyroglutamate_or_glu_lactam+D_L_inversion,sidechain_to_backbone_lactam;alpha_C,combined_delta,Glu_to_Pye;L_to_D,medium,True,auto_v5_anchor_optimized,v5: rule-refined anchor/scope/payload,E,residue_graph_replacement,lactam_or_pyroglutamate_replacement,residue_graph_replacement,full_residue_graph,Glu_to_Pye;L_to_D,False,True,not_core_local_edit,eligible_auxiliary_full_atom,atom_replacement_auxiliary,True,"Has a natural anchor for alignment, but the edit changes residue/backbone graph enough to treat as atom-level replacement.",residue_graph_replacement
GABA,GABA,GABA,CNCCCC=O,101.149,23,1,A,gamma/extended-backbone,rule_gaba_to_ala_backbone_extension_v6,L,False,backbone_edit,gamma_amino_acid_backbone_extension,backbone,delta_graph,Ala_to_GABA,low,True,auto_v6_anchor_optimized,v6: GABA treated as Ala-anchored gamma-amino-acid backbone extension,A,residue_graph_replacement,backbone_length_or_topology_replacement,backbone_mimetic_edit,backbone_replacement_graph,Ala_to_GABA,False,True,not_core_local_edit,eligible_auxiliary_full_atom,atom_replacement_auxiliary,True,"Has a natural anchor for alignment, but the edit changes residue/backbone graph enough to treat as atom-level replacement.",residue_graph_replacement
Pye,Pye,Pye,CN[C@H](C=O)CCC(=O)N1CCCC1,198.266,21,1,E,,rule_pye_as_pyroglutamate_v5,L,False,residue_replacement,pyroglutamate_or_glu_lactam,sidechain_to_backbone_lactam,full_residue_graph,Glu_to_Pye,medium,True,auto_v5_anchor_optimized,v5: rule-refined anchor/scope/payload,E,residue_graph_replacement,lactam_or_pyroglutamate_replacement,residue_graph_replacement,full_residue_graph,Glu_to_Pye,False,True,not_core_local_edit,eligible_auxiliary_full_atom,atom_replacement_auxiliary,True,"Has a natural anchor for alignment, but the edit changes residue/backbone graph enough to treat as atom-level replacement.",residue_graph_replacement
Me_Bmt(E),Me_Bmt(E),Bmt(E),C/C=C/C[C@@H](C)[C@@H](OC)[C@@H](C=O)N(C)C,213.321,20,9,T,,rule_bmt_as_threonine_like_v5,L,True,backbone_and_R_group_edit,N_methylation+threonine_sidechain_unsaturated_extension,backbone_N;threonine_beta_C/O,combined_delta,N-H_to_N-CH3;Thr_sidechain_to_Bmt(E),high,True,auto_v5_anchor_optimized,v5: rule-refined anchor/scope/payload,T,residue_graph_replacement,large_residue_graph_replacement,residue_graph_replacement,full_residue_graph,N-H_to_N-CH3;Thr_sidechain_to_Bmt(E),False,True,not_core_local_edit,eligible_auxiliary_full_atom,atom_replacement_auxiliary,True,"Has a natural anchor for alignment, but the edit changes residue/backbone graph enough to treat as atom-level replacement.",residue_graph_replacement
