summary_type,value,row_count
edit_event_class_default,local_interpretable_edit,196
edit_event_class_default,unknown_replacement,76
edit_event_class_default,natural_or_anchor_equivalent,20
edit_event_class_default,residue_graph_replacement,14
edit_event_class_default,terminal_or_capping_context,6
model_use_tier_default,core_local_edit,190
model_use_tier_default,atom_unknown_auxiliary,68
model_use_tier_default,reference_or_no_edit,20
model_use_tier_default,atom_replacement_auxiliary,14
model_use_tier_default,exclude_until_curated,8
model_use_tier_default,local_candidate_needs_review,6
model_use_tier_default,terminal_context_only,6
local_model_eligibility,eligible,190
local_model_eligibility,not_eligible,76
local_model_eligibility,not_an_edit,20
local_model_eligibility,not_core_local_edit,14
local_model_eligibility,needs_manual_review_before_core_local_use,6
local_model_eligibility,not_local_edit,6
atom_model_eligibility,eligible_full_atom,190
atom_model_eligibility,eligible_as_low_confidence_full_residue_graph,68
atom_model_eligibility,not_an_edit,20
atom_model_eligibility,eligible_auxiliary_full_atom,14
atom_model_eligibility,not_eligible_until_structure_or_manual_curation,8
atom_model_eligibility,eligible_after_review_or_low_weight,6
atom_model_eligibility,eligible_with_full_pair_structure,6
requires_manual_curation_final,False,219
requires_manual_curation_final,True,93
